Мемлекет басшысы Өзбекстан Президенті Шавкат Мирзиёевпен телефон арқылы сөйлесті	Telephone conversation with President of Uzbekistan Shavkat Mirziyoyev
Мемлекет басшысының Өкімдерімен: Рахмет Желдібайұлы Мұқашев - Қазақстан Республикасы Президентінің Парламенттегі Өкілдігінің басшысы; Ғани Нұрмаханбетұлы Өзбеков - Қазақстан Республикасы Қаржы нарығын және қаржы ұйымдарын реттеу және қадағалау жөніндегі агенттігі Төрағасының орынбасары болып тағайындалды. Басқа жұмысқа ауысуларына байланысты Мемлекет басшысының Өкімдерімен: Бақытжан Жарылқасымұлы Абдраимов - Қазақстан Республикасы Президентінің Парламенттегі Өкілдігінің басшысы; Қанат Мұхаметкәрімұлы Досмұқ	The following officials were appointed by decree of The Head of the State: Mukashev Rakhmet Zheldybaevich – Head of the Representative Office of the President of the Republic of Kazakhstan in the Parliament of the Republic of Kazakhstan. Uzbekov Gani Nurmakhanbetovich – Vice-Chairman of the Agency of the Republic of Kazakhstan of regulating and controlling financial market and financial organizations. The following officials were dismissed by decree of The Head of the State due to transfer to another job: A
Мемлекет басшысы Нұрсұлтан Назарбаев Әділет министрлігі Зияткерлік меншік құқықтары жөніндегі комитет төрағасының орынбасары Рахмет Мұқашевты қабылдап, оны Қазақстан Республикасы Президентінің Парламенттегі Өкілдігінің басшысы етіп тағайындады.	The Head of the State Nursultan Nazarbaev met with Deputy Head of the Intellectual Property Rights Committee Rakhmet Mukashev and appointed him to the post of the Head of Representative Office of the President of the Republic of Kazakhstan in Parliament.
Қазақстан Президенті Қасым-Жомарт Тоқаев Ақтөбедегі «Қазхром» ТҰК» акционерлік қоғамының ферроқорытпа зауытында болды	President of Kazakhstan Kassym-Jomart Tokayev visits Kazchrome ferroalloy plant
Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинге көңіл айту жеделхатын жолдады	Telegram of condolences to the President of the Russian Federation Vladimir Putin
Қазақстан халқына Жолдауына орай Мемлекет басшысы Нұрсұлтан Назарбаевтың атына көпшіліктен түсіп жатқан ізгі тілектер мен лебіздер легі толастамауда.	Comments on the Address to the people of Kazakhstan continue to come to the Head of the State Nursultan Nazarbaev.
Мемлекет басшысы Нұрсұлтан Назарбаев түркиялық “Окан Холдинг” компаниясы директорлар кеңесінің төрағасы Бекир Оканды қабылдады.	Investment projects, which are realized by the company in Kazakhstan, were discussed during the meeting.
Мемлекет басшысы Нұрсұлтан Назарбаев Көлік және коммуникациялар министрі Асқар Маминді қабылдады.	The Head of the State Nursultan Nazarbaev gave an audience to the Minister of Transport and Communications Askar Mamin.
Бүгін Мемлекет басшысы Нұрсұлтан Назарбаев Өзбекстан Республикасының Президенті Ислам Каримовпен телефон арқылы сөйлесті.	Today the Head of the State Nursultan Nazarbaev had a telephone talk with the Prezident of the Republic of Uzbekistan Islam Karimov.
Мемлекет басшысы Нұрсұлтан Назарбаев Жоғарғы Сот Төрағасы Қайрат Мәмиді қабылдады. Жоғарғы Сот Төрағасы Президентке республикамыздағы сот-құқықтық реформаның барысы туралы хабарлады.	The Head of the State Nursultan Nazarbaev gave an audience to Chairman of Supreme Court Kairat Mami, who informed the President about implementing judical legal reformation of the Republic.
Мемлекет басшысы Нұрсұлтан Назарбаев Ауыл шаруашылығы министрі Ахметжан Есімовты қабылдады.	The Head of the State Nursultan Nazarbaev met with the Minister of Agriculture Akhmetjan Esimov.
Мемлекет басшысы ресми сапармен Біріккен Араб Әмірліктеріне барды	Official visit to the United Arab Emirates
Мемлекет басшысы Нұрсұлтан Назарбаев еліміздің Қауіпсіздік Кеңесінің отырысын өткізді. Онда Қазақстан Республикасының 2006-2010 жылдарға арналған ұлттық қауіпсіздік стратегиясының жобасы қаралды.	The Head of the State Nursultan Nazarbaev held a session of the Security Council of the State on which a project of the Strategy of national security for the 2006-2010 years was considered.
Мемлекет басшысы Нұрсұлтан Назарбаев Парламент палаталарының бірлескен отырысында елдегі жағдай мен ішкі және сыртқы саясаттың негізгі бағыттары жөнінде Қазақстан халқына Жолдауын арнады.	The Head of the State Nursultan Nazarbaev delivered a speech with Address to the People of Kazakhstan on joint session of the Palates of Parliament about situation in the country and main directions of internal and external policies.
«Ақорда» сарайында Қазақстан Республикасының Президенті Нұрсұлтан Назарбаевтың лауазымына ресми кірісу рәсімі өтті.	Solemn ceremony of the official introduction into a post of the President of Republic Kazakhstan of Nursultan Nazarbaev took place in the Palace "Akorda".
Қазақстан Республикасының Президенті Нұрсұлтан Назарбаевтың атына мемлекет басшылары мен халықаралық ұйымдар басшыларының атынан сайлаудағы жарқын жеңісіне арналған құттықтаулар легі толастар емес.	Nursultan Nazarbayev receives congratulations on victory at the elections from the heads of states and international organizations.
Мемлекет басшысының атына Армения Президенті Роберт Кочаряннан Тәуелсіздік күніне арнаған құттықтауы келіп түсті.	The president of the Republic of Armenia Robert Kocharian congratulated the head of state on Independence Day.
Қазақстан Республикасының Президенті Нұрсұлтан Назарбаевтың атына шетелдің мемлекет басшылары, саяси және қоғам қайраткерлерінің атынан сайлаудағы жарқын жеңісіне арналған құттықтаулар легі толастамауда.	Nursultan Nazarbayev receives congratulations on victory at the elections from the heads of states, political and public figures.
Мемлекет басшысы Нұрсұлтан Назарбаев бірқатар заңдарға қол қойды.	Nursultan Nazarbayev signed laws “About ratification of the Treaty between Government of the Republic of Kazakhstan and the Government of the Kingdom of Sweden on international carriages of goods and passengers”, “About ratification of Convention between the Republic of Kazakhstan and the Kingdom of Norway for avoidance of double taxation and prevention of fiscal evasion with respect to taxes on income and capital”, “About ratification the Treaty on mutual ensuring of secret information safety in the framew
Мемлекет басшысы Нұрсұлтан Назарбаев Астанада еліміздің Тәуелсіздік Күніне арналған мерекелік шараларға қатысты.	Head of the state Nursultan Nazarbayev take part in festive actions, devoted to celebration of the Independence Day.
Мемлекет басшысы Нұрсұлтан Назарбаев Рашид Түсіпбековты Қазақстан Республикасының Бас прокуроры етіп тағайындау туралы Жарлыққа қол қойды.	Nursultan Nazarbayev signed a Decree on appointment Rashid Tusupbekov as an Attorney General of the Republic of Kazakhstan.
Нұрсұлтан Назарбаев Өзбекстан Республикасының Президенті Шавкат Мирзиёевпен кездесті	Meeting with the President of Uzbekistan Shavkat Mirziyoyev
Мемлекет басшысы Нұрсұлтан Назарбаевтың атына мемлекет басшылары, саяси және қоғам қайраткерлерінен келіп түсіп жатқан құттықтау жеделхаттары жалғасуда.	President N. Nazarbayev have been receiving greeting messages of heads of other states, politicians and public men.
Мемлекет басшысы Нұрсұлтан Назарбаев Тәуелсіздік Күніне арналған салтанатты шараға қатысты.	Head of state Nursultan Nazarbayev tool part in a solemn meeting devoted to the Independence Day.
Мемлекет басшысы Нұрсұлтан Назарбаев Атасу-Алашанькоу Қазақстан-Қытай магистральды мұнай құбырын іске қосу салтанатына қатысты.	Head of State took part in launching of Kazakh-Chinese main line of a pipeline Atasu-Alashankou.
Мемлекет басшысы «Қазақстан Республикасы мен Ауғанстан Өтпелі Ислам Республикасы арасында өзара қарым-қатынас пен ынтымақтастықтың негіздері жөніндегі Келісімді бекіту туралы», «Каспий теңізінің теңіз ортасын қорғау туралы негіздемелік конвенцияны бекіту туралы», «Қазақстан Республикасының мекенін ауыстырып отыратын жабайы аңдар түрлерін сақтау жөніндегі Конвенцияға қосылу туралы» және бірқатар Қазақстан Республикасының Заңдарына қол қойды.	Head of state Nursultan Nazarbayev signed laws of the Republic of Kazakhstan “About ratification of the Treaty about foundation of relations and co-operation between the Republic of Kazakhstan and transitional Islamic state of Afghanistan”, “About ratification of Framework Convention on protection of marine environments of Caspian sea”, “About accession of the Republic of Kazakhstan to Convention on conservation of migratory species of wild animals”(Bonn Convention), “About accession of the Republic of Kaza
Мемлекет басшысы Нұрсұлтан Назарбаев «Қазақстан Республикасы мен Халықаралық Қайта құру және Даму Банкі арасында займ жөніндегі (ауыл шаруашылығына қолдау көрсетудің екінші постжекешелендіру жобасы) Келісім шартын бекіту туралы, Еуразиялық экономикалық қауымдастыққа қатысушы мемлекеттердің бірыңғай экспорттық бақылау тәртібі жөніндегі Келісімді бекіту туралы» және басқа да Заңдарға қол қойды.	Head of state Nursultan Nazarabyev signed laws of the Republic of Kazakhstan “About ratification of Treaty on loan (Second post privatization project of agriculture support) between Kazakhstan and International Bank for Reconstruction and Development”, “About ratification of Convention to suppress slave trade and prostitutes exploitation and Final protocol”, “About ratification of Convention on single order of export control states-members of EEC”
Қазақстан Республикасының Президенті Нұрсұлтан Назарбаевтың атына мемлекет басшылары, саяси және қоғам қайраткерлерінен түсіп жатқан құттықтаулар легі жалғасуда.	Head of state Nursultan Nazarbayev receives greetings telegrams from the heads of states, political and public figures.
Мемлекет басшысы Нұрсұлтан Назарбаев елордалық цирктың тұсаукесер салтанатына қатысты.	Head of state Nursultan Nazarbayev took part in presentation of capital circus.
Ауғанстан Президенті Хамид Карзай мемлекет басшысы Нұрсұлтан Назарбаевқа телефон шалып, президент сайлауындағы жарқын жеңісімен құттықтады.	The President of Afghanistan Hamid Karzai called and congratulated Nursultan Nazarbayev on victory at presidential elections.
Қазақстан Республикасы Президенті Нұрсұлтан Әбішұлы Назарбаевтың атына мемлекет басшылары, саяси және қоғам қайраткерлерінен келіп түсіп жатқан құттықтау жеделхаттары жалғасуда.	Mr Nazarbayev receives congratulation of foreign politicians and public men.
Елбасы Наурыз мейрамына арналған мерекелік іс-шараға қатысты	Participation in Nauryz celebration
Мемлекет басшысы Нұрсұлтан Назарбаевтың атына Дүниежүзі қазақтарының қауымдастығы атынан құттықтау жеделхаты келіп түсті.	Head of state Nursultan Nazarbayev received greeting telegram from Worldwide Association of Kazakhs.
Қазақстан Республикасы Президенті Нұрсұлтан Назарбаевтың атына өз құттықтауларын мемлекет басшылары, саяси және қоғам қайраткерлері жолдауда.	Heads of states, politicians and public men have been sending congratulations to President Nazarbayev.
Халықаралық ұйымдардың басшылары мен саяси және қоғам қайраткерлері Нұрсұлтан Әбішұлын Қазақстан Республикасының Президенттігіне қайта сайлануымен құттықтауда.	Heads of international organizations, political and public figures congratulate Nursultan Nazarbayev on the reelection to the post of the President of the Republic of Kazakhstan.
Мемлекет басшысы Нұрсұлтан Назарбаевтың атына Жапонияның Премьер-министрі Дзюнъитиро Коидзумиден құттықтау жеделхаты келіп түсті.	The President of Kazakhstan Nursultan Nazabayev continues to receive congratulations from the heads of states, international organizations, political and public figures.
АҚШ Президенті Джордж Буш телефон соғып, Елбасы Нұрсұлтан Назарбаевты Президент сайлауындағы айқын жеңісімен құттықтады.	The President of the USA George Bush called and congratulated head of state Nursultan Nazarbayev on great victory at the presidential elections.
Мемлекет басшысы Нұрсұлтан Назарбаевты шетелдік мемлекеттік, саяси және қоғам қайраткерлері құтықтады.	Foreign leaders, political and public figures congratulated the head of state Nursultan Nazarbayev.
Қазақстан Президенті Нұрсұлтан Назарбаев Владимир Путинге Ресей Федерациясының Президенті лауазымына қайта сайлануына байланысты құттықтау жеделхатын жолдады	Telegram of congratulations to Vladimir Putin on re-election as President of the Russian Federation
Мемлекет басшысының атына жеңісімен Нұрсұлтан Әбішұлы білім алып, еңбек жолын бастаған Днепропетровск облысынан құттықтаулар келіп түсуде.	Head of state received congratulations from Dnepropetrovsk region where N.Nazarbayev studied and started to work.
Нұрсұлтан Назарбаевтың атына ғылым, мәдениет және өнер қайраткерлері арнаған құттықтаулар легі толастамауда.	Flow of greeting messages to Nursultan Nazarbayev from representatives of science, culture and art has not been running dry.
Қазақстан басшысының атына шетелдік саяси және қоғам қайраткерлері арнаған құттықтаулар легі жалғасуда.	Kazakhstani Leader is receiving greeting messages from foreign politicians and public man.
Қазақстан Президенті Нұрсұлтан Назарбаевтың атына мемлекет басшылары мен халықаралық ұйымдардың басшылары, саяси және қоғам қайраткерлері, таяу және алыс шетелдердегі ғылым және өнер қайраткерлерінен президент сайлауындағы жеңісіне арналған құттықтаулар легі жалғасуда.	Concerning President of Kazakhstan Nursultan Nararbayev greeting messages on victory of presidential election from heads of states, leaders of international organizations, politicians, public men, representatives of culture, science and art from different countries are going on.
Мемлекет басшысы Нұрсұлтан Назарбаевтың атына сайлаудағы жеңісімен шет мемлекеттердің басшылары, саяси және қоғам қайраткерлері жолдаған құттықтаулар легі толастамауда.	Head of the State Nursultan Nazarbayev are receiving congratulations on victory from the leaders of foreign states, politicians and public men.
Көптеген құттықтау жеделхаттары ғылым, мәдениет және өнер қайраткерлерінен келіп түсуде.	Nursultan Nagarbayev has had a lot of greeting messages from representatives of science, culture and art.
Халықаралық ұйымдардың өкілдері, алыс және жақын шетелдерден келген бақылаушылар, ғылыми-зерттеу институттарының сарапшылары, әлемнің жетекші бұқаралық ақпарат құралдарының Қазақстандағы сайлау қорытындылары жөніндегі пікірлері толастамауда.	Representatives of international organizations, observers from CIS and other states, experts of research institutes, world's leading media outlets comment on results of presidential elections in Kazakhstan.
Қазақстан басшысын Ресей Федерациясының саяси және қоғам қайраткерлері құттықтауда.	Politicians and public figures of the Russian Federation congratulated a Kazakhstan leader.
Қазақстанның қоғам қайраткерлері, соғыс және еңбек ардагерлері, ғылым, мәдениет, өнер және спорт өкілдерінен құттықтаулар легі толастамауда.	Flow of greeting messages from public men, veterans of war and labor, representatives of science, culture, art and sport is going on.
Мемлекет басшысының атына сайлаудағы жеңісіне байланысты құттықтаулар халықаралық ұйымдардың жетекшілерінен келіп түсті.	There are congratulations on the victory addressed to the head of state from heads of international organizations.
Мемлекет басшысы Нұрсұлтан Назарбаев Ресей Президенті Владимир Путинмен телефон арқылы сөйлесті	Telephone conversation with President of the Russian Federation Vladimir Putin
Қазақстан Президенті Нұрсұлтан Назарбаевтың атына мемлекет басшыларынан, халықаралық ұйымдардың жетекшілерінен, таяу және алыс шет елдердің саяси және қоғам қайраткерлерінен, мәдениет, ғылым және өнер қайраткерлерінен сайлаудағы жеңісіне байланысты құттықтаулар түсуін жалғастыруда.	Nursultan Nazarabyev receives congratulations on the victory at the elections from the Heads of states, heads of international organizations, political and public figures, art and culture figures, scientists of CIS and out of CIS countries.
Нұрсұлтан Назарбаевқа өздерінің игі тілектерін дін қайраткерлері арнады.	Churchmen addressed congratulations to Nursultan Nazarbayev.
Нұрсұлтан Назарбаевтың атына Австрия Республикасының Федералдық Президенті Хайнц Фишерден құттықтау жеделхаты келіп түсті.	Nursultan Nazarbayev received the greetings telegram from Heinz Fischer, the Federal President of the Republic of Austria.
Нұрсұлтан Назарбаевтың атына Мемлекет басшысы бұрыннан достық қарым-қатынас орнықтырып келген АҚШ-тың 42-ші Президенті Билл Клинтоннан құттықтау жеделхаты келіп түсті.	Nursultan Nazarbayev received greetings telegram from the 42d president of the USA Bill Clinton with whom head of state have old friendly relations.
Нұрсұлтан Назарбаевтың атына Оман сұлтаны Кабус бин Саидтан құттықтау жеделхаты келіп түсті.	Nursultan Nazarbayev received the greetings telegram from Sultan Qaboos bin Said of Omman.
Мемлекет басшысы Нұрсұлтан Назарбаев Астана қаласының әкімі Өмірзақ Шөкеев бастаған делегацияны қабылдады.	Head of State Nursultan Nazarbayev received a delegation of Astana city at the head of Akim Umirzak Shukeyev.
Мемлекет басшысы Нұрсұлтан Назарбаев “Қазақпарат” ұлттық компаниясында болып, ақпарат агенттігінің 85-жылдық мерейтойымен құттықтады.	Head of the State Nursultan Nazarbayev visited a national company “Kazinform” and congratulated its employees on 85th anniversary of a news agency.
Мемлекет басшысы Астанаға Алматы қаласынан Президентті сайлаудағы жеңісімен құттықтауға келген делегацияны қабылдады.	Head of State received the delegation from Almaty arrived to Astana to congratulate the president with victory.
Шет мемлекеттердің басшыларынан Мемлекет басшысы Нұрсұлтан Назарбаевтың атына президент сайлауындағы жеңісіне арналған құттықтаулар легі толастамауда.	Head of State is still receiving congratulations with victory at the elections.
Президент сайлауының алдын ала қорытындылары халыққа жарияланған сәттен бастап Мемлекет басшысы Нұрсұлтан Назарбаевтың атына Мемлекет басшылары, танымал мемлекеттік, мәдениет, өнер қайраткерлері, сондай-ақ есімдері әлемге белгілі ғалымдардан көптеген құттықтаулар келіп түсуде.	Since the moment of unveiling the early results of presidential elections President Nursultan Nazarbayev have had a number of congratulations from the heads of the states, important statesmen, cultural workers and famous scientists.
Нұрсұлтан Назарбаев Си Цзиньпинге Қытай Халық Республикасының Төрағасы қызметіне қайта сайлануына байланысты құттықтау жеделхатын жолдады	Telegram of congratulations to Xi Jinping on re-election as Chairman of the People's Republic of China
Қазақстан Республикасы Президенттігіне үміткер болған Ерасыл Әбілқасымов пен Мэлс Елеусізов Мемлекет басшысы Нұрсұлтан Назарбаевты шүбәсіз жеңісімен құттықтады.	Ex candidates to the post of the president of the Republic of Kazakhstan Erasyl Abylkasimov and Mels Eleusizov congratulated the head of state Nursultan Nazarbayev on convincing victory.
Мемлекет басшысы Нұрсұлтан Назарбаев елордадағы «Қазақстан» спорт кешенінде өз жақтаушыларымен кездесті.	Head of the State Nursultan Nazarbayev has met with his supporters in sport center “Kazakhstan” in Astana.
Мемлекет басшысы Шанхай ынтымақтастық ұйымы бақылаушылары миссиясының басшысы, ШЫҰ атқарушы хатшысы Чжан Дэгуанды қабылдады.	Head of State Nursultan Nazarbayev received Zhang Deguang Executive secretary of SHOC, the head of the observers mission from Shanghai organization of co-operation.
Мемлекет басшысы Нұрсұлтан Назарбаев ТМД атқару комитетінің төрағасы – атқарушы хатшысы Владимир Рушайло бастаған Тәуелсіз Мемлекеттер Достастығы елдерінің бақылаушылар тобын қабылдады.	Head of the state Nursultan Nazarbayev received a group of observers of CIS countries at the head of Chairman of Executive Committee, Executive Secretary of CIS states Vladimir Rushailo.
Мемлекет басшысы Нұрсұлтан Назарбаев Астанадағы М.Горкий атындағы орыс драма театрының ғимаратында орналасқан нөмірі екінші сайлау учаскесінде электронды бюллетень арқылы дауыс берді.	Head of State Nursultan Nazarbayev has voted with electronic ballot on the polling station № 2 placed in the building of Astana Dramatic Theatre named after M.Gorky.
Мемлекет басшысы «Қазақстан Республикасы мен Ресей Федерациясы арасындағы мемлекеттік шекара туралы шартты ратификациялау туралы» Заңға қол қойды.	Head of state signed the law “About ratification of the Treaty between the Republic of Kazakhstan and Russian Federation on Kazakh-Russian state frontier”.
Мемлекет басшысы Нұрсұлтан Назарбаев ТМД атқару комитетінінің төрағасы Владимир Рушайлоны қабылдады.	Head of state Nursulatn Nazarbayev received Vladimir Rushailo, CIS executive secretary-chairman of executive committee.
Мемлекет басшысы Нұрсұлтан Назарбаев Словакия Республикасының Қазақстандағы жаңа тағайындалған Төтенше және Өкілетті елшісі Душан Подгорскиден сенім грамотасын қабылдады.	Head of State Nursultan Nazarbayev received the letters of credence from Dusan Podgorsky, Ambassador Extraordinary and Plenipotentiary of Slovak Republic.
Нұрсұлтан Назарбаев Сирия мәселесі жөніндегі Астана процесіне кепіл елдердің сыртқы істер министрлерімен кездесті	Meeting with Foreign Ministers of Guaranteeing Powers in the Astana Process on Syria
Мемлекет басшысы елімізге Қазақстан Республикасы Президенті сайлауын бақылауға Ұлыбританиядан келген «Каспий ақпараттық орталығының» делегациясын қабылдады.	Head of State received the delegation “Caspian information center” from Great Britain arrived to observe elections of the president of Kazakhstan.
Мемлекет басшысы Астананың жаңа сауда және ойын-сауық орталығы ғимаратының іргетасын қалау рәсіміне қатысты.	Head of the State took part in the ceremony of foundation laying of the new Trade and Entertaining Center in Astana.
Мемлекет басшысы Нұрсұлтан Назарбаев Қазақстан Республикасы Парламенті Сенатының жалпы отырысына қатысты.	Head of the State Nursultan Nazarbayev took part in the work of plenary session of Senate of Parliament.
Мемлекет басшысы Нұрсұлтан Назарбаев елордадағы Есілдің сол жағалауында салынып бітуге таяған елордалық цирктің жаңа ғимаратында болды.	Head of the State Nursultan Nazarbayev visited a new building of the Capital Circle the construction of which has been completing on the Left Bank of Ishim in Astana.
Мемлекет басшысы Нұрсұлтан Назарбаев елордадағы «Қазақстан» спорт кешенінде Қазақстан Республикасы Президенттігіне өз кандидатурасын жақтаушылар форумына қатысты.	Head of the State met with his supporters on the Forum held in Astana.
Мемлекет басшысы Нұрсұлтан Назарбаев жаңа елорданың көрікті жерлерімен танысу үшін Астанаға келген алматылық ардагерлер қауымымен кездесті.	Head of State Nursultan Nazarbayev had a meeting the group of veterans from Almaty arrived to Astana to get acquainted with sightseeing of the new capital.
Мемлекет басшысы Нұрсұлтан Назарбаев Қазақстан басшысына «Қоғамды дамытудағы үлесі үшін» орденін тапсыру үшін Астанаға келген Ресейдің Жаратылыс ғылымдары академиясының делегациясын қабылдады.	Head of State Nursultan Nazarbayev received delegation of Russian Academy of physical sciences arrived to Astana in order to present an order to the head of state “For the contribution to society development”.
Сенаттың депутаттары тағайындалды. Мемлекет басшысының Жарлығымен үшінші шақырылған Қазақстан Республикасы Парламенті Сенатының депутаттары болып мыналар тағайындалды: Әбіқаев Нұртай, Жолдасбекова Нұрлығайым Шалданқызы, Кекілбаев Әбіш, Көпеев Мұхамбет Жұманазарұлы, Меркель Иоган Давидович, Сұлтанов Қуаныш Сұлтанұлы, Өтебаев Мүсірәлі Смайылұлы.	Senate deputies appointment.Abykayev Nurtay, Zholdasbayeva Nurligaim Chaldanovna, Kekilbayev Abish, Kopeev Muhambet Zhumanazaruli, Merkel Iogan Davidovich, Sultanov Kuanish Sultanovich, Utebayev Musirali Smailovich were appointed as deputies of Senate of Parliament of third convocation by the decree of the president.
Мемлекет басшысы Нұрсұлтан Назарбаев Астана қаласындағы бірқатар нысандарды аралап көрді.	Head of the State Nursultan Nazarbayev visited a number of objects of Astana.
Мемлекет басшысы Нұрсұлтан Назарбаев Алматыда өткен Шетелдік инвесторлар кеңесінің 14-ші пленарлық отырысына қатысты.	Head of the State Nursultan Nazarbayev took part in the 14th plenary meeting of Foreign Investors Council in Almaty.
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова «Тұмар» ұлттық телевизия сыйлығын тапсыру рәсіміне қатысты	Participation of the State Secretary of Kazakhstan in the solemn ceremony of presenting the national television award
Қазақстан Республикасы Президенті жанындағы Инвесторлар кеңесінің 14-ші жалпы отырысында ел экономикасына инвестия салушы ірі шетелдік компаниялардың басшылары Қазақстанның Дүниежүзілік сауда ұйымына кіруге деген ықыласына қолдау білдірді.	Head of the State Nursultan Nazarbayev and president of the European Bank of Reconstruction and Development Jean Lemier held a press-conference regarding the results of the 14th plenary session of the Foreign Investor’s Council.
Мемлекет Басшысы Нұрсұлтан Назарбаев «Эни» мұнай корпорациясының өндірістік бас директоры Стефано Каоны, «Би Джи Групп» компаниясының бас атқарушы директоры Фрэнк Чапмэнді, «Тотал» компаниясының аға вице-президенті Кристоф де Маржериді қабылдады.	Head of the State Nursultan Nazarbayev received Stefano Cao, General production director of “ENI” oil corporation, Frank Chapman Chief Executive of “BG Group”, Christophe de Margerie President of Exploration and Production of “Total” company. Course of investment projects realization of these companies in Kazakhstan and outlooks of the investments growth in the conditions of accedence WTO by our country were discussed at the meeting.
Мемлекет басшысы Нұрсұлтан Назарбаев пен Еуропалық Қайта құру және даму банкінің президенті Жан Лемьер Шетелдік инвесторлар кеңесінің 14-ші жалпы отырысының қорытындылары бойынша баспасөз-мәслихатын өткізді.	Head of the State Nursultan Nazarbayev and president of the European Bank of Reconstruction and Development Jean Lemier held a press-conference regarding the results of the 14th plenary session of the Foreign Investor’s Council.
Мемлекет басшысы Нұрсұлтан Назарбаев «Шеврон» компаниясының атқарушы вице-президенті Джордж Киркланды қабылдады.	Head of the State Nursultan Nazarbayev received George L. Kirkland Executive Vice President of “Chevron” company.
Мемлекет басшысы Нұрсұлтан Назарбаев Қазақстан Республикасы Президенті сайлауының барысын бақылауға келген ЕҚЫҰ-ның Демократиялық институттар мен адам құқықтары жөніндегі бюросы Бақылаушылар миссиясының басшысы Одри Фрэнсис Глоуверді қабылдады.	Head of the State Nursultan Nazarbayev received Audrey Francis Glover the head of the observation Mission of the OSCE Office for Democratic Institutions and Human Rights to monitor presidential elections in Kazakhstan.
Мемлекет басшысы Нұрсұлтан Назарбаев бүгін Алматыда өткен Қазақстан қаржыгерлерінің V Конгресіне қатысты.	Head of the State Nursultan Nazarbayev took part in the 5th Congress of financiers of Kazakhstan in Almaty.
Мемлекет басшысы «Қазақстан Республикасының кейбір заңнамалық актілеріне салық салу мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы» Заңға қол қойды.Заң орта және шағын бизнесті, бәсекеге қабілетті экспорттауға бағдарланған өндірісті, жеке тұлғалар мен шағын бизнес субъектілерінің мүлігін ресмилендіру процесін жандандыру мақсатында салық заңнамасын жетілдіруге бағытталған.	Head of the State Nursultan Nazarbayev signed the law “On Introduction of Amendments to Some Legislative Acts of the Republic of Kazakhstan on Taxation”.
Мемлекет басшысы «Қазақстан Республикасының кейбір заңнамалық актілеріне зияткерлік меншік құқықтары мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы» Заңға қол қойды. Заң Қазақстан Республикасындағы зияткерлік меншік құқықтарын тиімді қорғауды қамтамасыз ету үшін жағдай жасауға бағытталған.	Head of the State signed the law “On Introduction of Amendments to Some Legislative Acts on Intellectual Property Rights”. This law is aimed at setting up conditions ensuring effective protection of intellectual property rights in Kazakhstan.
Мемлекет басшысы, Қазақстан халықтары Ассамблеясының Төрағасы Нұрсұлтан Назарбаев «Бейбітшіліктің, ұлтаралық келісім мен ынтымақтастықтың 10 жылы» атты Қазақстан халықтары Ассамблеясының ХІ-ші сессиясына қатысты.	Head of the State, the chairman of Assembly of Peoples of Kazakhstan Nursultan Nazarbayev took part in the work of XI session of the Assembly of Peoples of Kazakhstan, “Ten years of peace, international accord and edifying”.
Мемлекет басшысы Қазақстан Республикасының «Экономикалық, әлеуметтік және мәдени құқықтар туралы халықаралық пактіні ратификациялау туралы» заңына қол қойды.	Head of the State signed the law “On Ratification of the International Pact on Economic, Social and Cultural Rights”
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Италияның Қазақстандағы Төтенше және өкілетті елшісі Стефано Раваньянмен кездесті	Meeting of the State Secretary of Kazakhstan with Ambassador Extraordinary and Plenipotentiary of Italy to Kazakhstan
Мемлекет басшысы Нұрсұлтан Назарбаев Грузия Премьер-Министрі Зураб Ногаиделиді қабылдады.	Head of the State Nursultan Nazarbayev received Zurab Nogaideli, the Prime-Minister of Georgia.
Мемлекет басшысы Нұрсұлтан Назарбаев Киевте Украина Президенті Виктор Ющенкомен кездесті.	The Head of the State Nursultan Nazarbayev met with the Ukrainian President Viktor Yushchenko in Kiev.
Украинаға ресми сапарының екінші күні Мемлекет басшысы Нұрсұлтан Назарбаев Жоғарғы Рада депутаттарымен кездесті.	On the second day of the official visit to Ukraine the Head of the State Nursultan Nazarbayev met with deputies of the Verkhovna Rada.
Мемлекет басшысы Нұрсұлтан Назарбаев Украинаға ресми сапары аясында Днепродзержинск Жоғары кәсіптік училищесінің 80 жылдығына арналған салтанатты шараға қатысты.	During his official visit to Ukraine the Head of the State Nursultan Nazarbayev participated in the celebration devoted to the 80th anniversary of Dneprodzerzhinsk Higher Vocational School.
Мемлекет басшысы Нұрсұлтан Назарбаев Днепродзержинск металлургия комбинатында болды.	Head of the State Nursultan Nazarbayev visited metallurgy works in Dneprodzerzhinsk.
Бүгін Мемлекет басшысы Нұрсұлтан Назарбаевтың Украинаға ресми сапары басталды.	Today the Head of the State Nursultan Nazarbayev started an official visit to Ukraine.
Мемлекет басшысы Нұрсұлтан Назарбаев Қазақстан Республикасының Экономика және бюджеттік жоспарлау министрі Қайрат Келімбетовті қабылдады.	Head of the State Nursultan Nazarbayev received Minister of Economy and Budget Planning of the Republic of Kazakhstan Kairat Kelimbetov.
